Export of Imageset bitbots-2018-iran-game-02-rhoban-zju-2nd (ball annotations in bounding boxes)
[team|Bit-Bots]
[set|bitbots-2018-iran-game-02-rhoban-zju-2nd]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]


label::robot|frame0048.png|640|360|366|42|407|111|386.5|76.5|41|69
label::robot|frame0048.png|640|360|143|68|171|116|157.0|92.0|28|48
label::robot|frame0048.png|640|360|45|71|80|131|62.5|101.0|35|60
label::robot|frame0048.png|640|360|527|25|569|127|548.0|76.0|42|102
label::robot|frame0049.png|640|360|550|1|596|105|573.0|53.0|46|104
label::robot|frame0049.png|640|360|387|27|432|96|409.5|61.5|45|69
label::robot|frame0050.png|640|360|191|47|219|95|205.0|71.0|28|48
label::robot|frame0050.png|640|360|95|48|130|108|112.5|78.0|35|60
label::robot|frame0050.png|640|360|410|15|454|91|432.0|53.0|44|76
label::robot|frame0050.png|640|360|575|0|626|106|600.5|53.0|51|106
label::robot|frame0051.png|640|360|213|92|241|140|227.0|116.0|28|48
label::robot|frame0051.png|640|360|126|95|156|151|141.0|123.0|30|56
label::robot|frame0051.png|640|360|435|53|473|134|454.0|93.5|38|81
label::robot|frame0051.png|640|360|595|38|640|147|617.5|92.5|45|109
label::robot|frame0054.png|640|360|245|34|266|80|255.5|57.0|21|46
label::robot|frame0054.png|640|360|155|26|180|82|167.5|54.0|25|56
label::robot|frame0054.png|640|360|466|27|508|105|487.0|66.0|42|78
label::robot|frame0055.png|640|360|144|34|172|92|158.0|63.0|28|58
label::robot|frame0055.png|640|360|609|78|640|172|624.5|125.0|31|94
label::robot|frame0056.png|640|360|215|73|243|127|229.0|100.0|28|54
label::robot|frame0056.png|640|360|119|60|150|118|134.5|89.0|31|58
label::robot|frame0056.png|640|360|566|142|629|239|597.5|190.5|63|97
label::robot|frame0057.png|640|360|564|168|622|268|593.0|218.0|58|100
label::robot|frame0058.png|640|360|98|90|129|147|113.5|118.5|31|57
label::robot|frame0058.png|640|360|542|164|596|262|569.0|213.0|54|98
label::robot|frame0059.png|640|360|65|81|99|139|82.0|110.0|34|58
label::robot|frame0059.png|640|360|508|170|562|268|535.0|219.0|54|98
label::robot|frame0060.png|640|360|55|71|90|130|72.5|100.5|35|59
label::robot|frame0060.png|640|360|500|170|554|268|527.0|219.0|54|98
label::robot|frame0061.png|640|360|55|73|90|132|72.5|102.5|35|59
label::robot|frame0061.png|640|360|498|177|552|275|525.0|226.0|54|98
label::robot|frame0062.png|640|360|61|81|96|140|78.5|110.5|35|59
label::robot|frame0062.png|640|360|508|177|562|275|535.0|226.0|54|98
label::robot|frame0063.png|640|360|79|97|110|153|94.5|125.0|31|56
label::robot|frame0063.png|640|360|526|167|580|265|553.0|216.0|54|98
label::robot|frame0064.png|640|360|538|154|591|252|564.5|203.0|53|98
label::robot|frame0065.png|640|360|101|112|134|168|117.5|140.0|33|56
label::robot|frame0065.png|640|360|560|133|611|231|585.5|182.0|51|98
label::robot|frame0066.png|640|360|108|118|141|174|124.5|146.0|33|56
label::robot|frame0066.png|640|360|570|115|621|213|595.5|164.0|51|98
